Wavenumber;HDPE;PS
2165.6685;95.7531;98.3423
2167.5969;95.732;98.3372
2169.5254;95.7404;98.3588
2171.4539;95.7627;98.395
2173.3823;95.7844;98.4314
2175.3108;95.7944;98.4544
2177.2393;95.7879;98.4554
2179.1677;95.7662;98.4333
2181.0962;95.7351;98.3952
2183.0247;95.7014;98.3527
2184.9531;95.6697;98.3161
2186.8816;95.6421;98.2904
2188.8101;95.6194;98.2744
2190.7385;95.603;98.2638
2192.667;95.595;98.2556
2194.5955;95.5973;98.2497
2196.5239;95.6089;98.2482
2198.4524;95.6255;98.2522
2200.3809;95.6407;98.2597
2202.3093;95.6486;98.266
2204.2378;95.6457;98.2666
2206.1663;95.6323;98.2599
2208.0947;95.6115;98.2487
2210.0232;95.5877;98.2385
2211.9517;95.5659;98.2346
2213.8801;95.55;98.239
2215.8086;95.5432;98.2507
2217.7371;95.5461;98.2663
2219.6655;95.5571;98.2814
2221.594;95.5716;98.2919
2223.5225;95.5836;98.2941
2225.4509;95.5882;98.2862
2227.3794;95.5831;98.2692
2229.3079;95.57;98.2478
2231.2363;95.553;98.2284
2233.1648;95.5364;98.2161
2235.0933;95.5223;98.2112
2237.0217;95.5102;98.2094
2238.9502;95.4985;98.2049
2240.8787;95.486;98.1951
2242.8071;95.474;98.1826
2244.7356;95.4649;98.1738
2246.6641;95.4606;98.1735
2248.5925;95.4604;98.1811
2250.521;95.4604;98.1896
2252.4495;95.4561;98.1902
2254.3779;95.4445;98.1774
2256.3064;95.4264;98.1522
2258.2349;95.4059;98.1216
2260.1633;95.3878;98.0938
2262.0918;95.3759;98.0746
2264.0203;95.3708;98.0657
2265.9487;95.3712;98.0655
2267.8772;95.3744;98.0708
2269.8057;95.3775;98.0785
2271.7341;95.3769;98.0852
2273.6626;95.3694;98.0876
2275.5911;95.3522;98.0834
2277.5195;95.3251;98.0721
2279.448;95.2906;98.055
2281.3765;95.2541;98.0348
2283.3049;95.2215;98.0143
2285.2334;95.1972;97.9956
2287.1619;95.1828;97.9797
2289.0903;95.1771;97.9669
2291.0188;95.1771;97.9576
2292.9473;95.1796;97.952
2294.8757;95.1821;97.9496
2296.8042;95.1826;97.9491
2298.7327;95.1797;97.9485
2300.6611;95.1722;97.9455
2302.5896;95.1593;97.9382
2304.5181;95.1416;97.9261
2306.4465;95.121;97.9102
2308.375;95.1009;97.8932
2310.3035;95.0843;97.8779
2312.2319;95.0718;97.8658
2314.1604;95.0612;97.856
2316.0889;95.0488;97.8448
2318.0173;95.0324;97.8289
2319.9458;95.0159;97.8076
2321.8743;95.0097;97.7857
2323.8027;95.027;97.7711
2325.7312;95.0756;97.7706
2327.6597;95.1502;97.7841
2329.5881;95.2327;97.803
